,CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD
0,SN2016coj,150,0.0057,0.00084,0.00489,6e-05,0.00452,6e-05,12.6455,0.482914,31.8985,0.483668,-9.0,0,0,-0.006916,0.034309,-1.47692,0.085215,12.8717,0.0394491,0.12744,0.00463056,-0.000107973,-4.15e-05,-0.000136764,182.028,65.1772,-999.0,-999.0,-9.0,-242.803,250,0.016304,11.036,0.0,57548.1,0.1118,11,29.9128,0.00163532,0.0772,0.3209,-0.0227,0.002,1.0,0.006
1,2018gv,150,0.00602,0.00085,0.00596,0.00015,0.0051,0.00015,12.6572,0.349206,31.9102,0.350249,32.0504,1,0,-0.112311,0.031402,0.12088,0.053583,12.3829,0.0459817,0.19992,0.00846668,-0.000416767,0.000100383,-0.000208687,121.394,-11.4379,121.4085,-11.42703,64.4135008968721,-18.777,250,0.0498206,10.06,-9.0,58150.6,0.0963,28,115.071,1.61e-12,0.0694,0.3075,0.0384,0.004,1.0,0.003
2,2019np,150,0.00648,0.00084,0.0055,0.0,0.00452,0.0,13.1808,0.321157,32.4338,0.32229,32.3302,1,0,-0.025372,0.029598,0.11384,0.074387,13.1161,0.0358983,0.10176,0.00336454,-0.000187854,-1.26e-06,-8.79e-05,157.342,29.5106,157.33308,29.49183,73.12383549939922,-289.936,250,0.0172714,10.63,-9.0,58510.4,0.0507,66,66.0811,0.47404,0.0645,0.2824,-0.0219,0.003,1.0,0.004
3,2017erp,150,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,12.9199,0.370142,32.1729,0.371125,32.2221,1,0,0.071172,0.039678,0.47218,0.19972,13.0751,0.06548,0.10567,0.00637306,-0.00231035,0.000371887,-0.000196343,227.312,-11.3342,227.31704,-11.32167,48.48953348568977,147.138,250,0.0926627,10.591,-9.0,57934.9,0.3455,18,15.34,0.70076,0.0933,0.2736,-0.0476,0.005,1.0,0.016
4,ASASSN-15so,150,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,13.4997,0.266214,32.7527,0.26758,32.8026,1,0,-0.055198,0.032438,-0.714413,0.078954,13.4883,0.0382032,0.0722262,0.00254138,-0.000243409,-9.99e-06,-7.14e-05,168.546,48.3187,168.545385,48.318615,1.5037403328675145,-249.339,250,0.01263,10.95,0.001,57345.3,0.1667,19,40.9933,0.00241842,0.0727,0.2137,0.0014,0.002,1.0,0.003
5,PSNJ0717457,150,0.00861,0.00084,0.00812,1e-05,0.00759,1e-05,13.4693,0.382481,32.7223,0.383433,-9.0,0,0,0.028562,0.034936,-0.210958,0.19984,13.6936,0.0544566,0.0597801,0.00299835,0.00116827,-0.000114967,-8.48e-05,109.44,23.3446,109.420754,23.356744,77.18573860776266,-143.618,250,0.0576285,9.38921,0.001,57157.1,0.1461,4,1.38639,0.84656,0.0744,0.2128,0.0525,0.005,1.0,0.02
6,ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,14.3179,0.313698,33.5709,0.314858,-9.0,0,0,-0.031719,0.042517,-1.97973,0.15325,14.6019,0.0491948,0.0258962,0.00117336,2e-05,-5.54e-05,-4.22e-05,339.247,-25.232,339.262513,-25.236411,52.954495194279964,-166.92,250,0.0203573,8.01649,0.013,57629.9,0.2221,8,25.7163,0.00117435,0.0997,0.1673,0.0376,0.004,1.0,0.008
7,AT2017cfd,150,0.01304,0.00086,0.01222,0.00016,0.01208,0.00016,14.3222,0.291315,33.5752,0.292564,-9.0,0,0,0.050626,0.034477,-0.52942,0.093523,14.5702,0.040821,0.0266644,0.00100251,-0.000302692,-9.4e-06,-2.92e-05,130.204,73.4875,130.210241,73.486765,6.912457416967521,-244.554,250,0.0190022,10.6316,0.001,57843.6,0.1046,7,37.2323,4.24e-06,0.0791,0.1441,-0.0391,0.002,1.0,0.012
8,ASASSN-16dn,150,0.01411,0.00085,0.01406,0.0001,0.01285,0.0001,14.5676,0.249416,33.8206,0.250873,-9.0,0,0,-0.093154,0.031125,0.47579,0.075765,14.3115,0.0416428,0.0338383,0.00129785,-2.57e-05,-8.17e-06,-3.47e-05,162.206,-20.2639,162.2031,-20.26319,10.121901028236174,-13.3692,250,0.0326925,8.03684,0.017,57489.9,0.0726,14,34.736,0.00160814,0.0658,0.1317,0.0497,0.002,1.0,0.006
9,ASASSN-16la,150,0.01424,0.00085,0.01424,4e-05,0.01506,4e-05,14.5914,0.264112,33.8444,0.265489,-9.0,0,0,-0.102335,0.04358,0.83157,0.13455,14.2599,0.11928,0.0354855,0.00389851,-0.000337668,4.87e-05,-0.000140405,37.3226,18.0879,37.321667,18.087806,3.2106962112196187,-1.3947,250,0.17993,8.23133,0.001,57671.7,0.1204,8,2.47053,0.96309,0.078,0.1305,0.0552,0.002,1.0,0.005
10,PSNJ2043531,150,0.01492,0.00085,0.01449,2e-05,0.01549,2e-05,14.9372,0.371694,34.1902,0.372674,-9.0,0,0,0.093402,0.043301,-2.55527,0.14723,15.7365,0.0711861,0.00910719,0.000597112,0.000584583,-1.67e-05,-1.96e-05,310.972,12.5085,310.97379,12.51192,13.826136569010915,-126.778,250,0.0857212,7.58761,0.001,57226.0,0.1665,10,19.8017,0.0311845,0.0953,0.1246,0.0811,0.008,1.0,0.035
11,SN2017jl,150,0.01525,0.00096,0.01529,0.00044,0.01633,0.00044,14.5176,0.300982,33.7706,0.30219,-9.0,0,0,-0.002342,0.034183,0.60274,0.12175,14.5129,0.0557691,0.0281099,0.00144387,8.69e-05,-1.37e-05,-3.94e-05,14.3829,30.1852,14.381299,30.185952,5.6700873298750265,11.8215,250,0.0632005,8.7366,0.008,57784.9,0.1053,8,5.71435,0.67919,0.0726,0.1377,0.039,0.002,1.0,0.013
12,ASASSN-16ad,150,0.01529,0.00085,0.01522,1e-05,0.01613,1e-05,14.7804,0.343245,34.0334,0.344305,-9.0,0,0,0.013618,0.03263,0.10511,0.073274,14.9033,0.045574,0.0196182,0.00082348,-0.000200488,2.75e-07,-2.2e-05,24.8836,33.8268,24.879896,33.824406,14.035127934241144,-21.2326,250,0.0421356,8.61292,0.002,57406.4,0.0893,14,38.575,0.000424132,0.071,0.1216,0.0439,0.002,1.0,0.016
13,ATLAS16cxr,150,0.01542,0.00131,0.01518,0.001,0.01552,0.001,15.0896,0.371909,34.3426,0.372888,-9.0,0,0,0.04603,0.03762,-0.04908,0.092512,15.3569,0.0808418,0.0129198,0.000961983,-0.000195379,2.76e-06,-2.88e-05,272.027,25.4088,272.02692,25.40884,0.2973604260147385,-72.364,250,0.11019,7.98113,0.002,57666.6,0.0907,8,20.0661,0.010089,0.0735,0.1859,0.0653,0.003,1.0,0.023
14,iPTF16auf,150,0.01543,0.00085,0.01566,0.0,0.01502,0.0,14.8214,0.313702,34.0744,0.314862,-9.0,0,0,0.048315,0.031022,0.046602,0.085019,15.0843,0.0366445,0.0166059,0.000560464,2.73e-05,-3.19e-06,-1.52e-05,217.788,27.236,217.787446,27.237292,4.977763869565937,68.1596,250,0.0130772,9.05163,0.017,57538.1,0.0959,16,65.9142,5.13e-08,0.0678,0.1205,0.068,0.003,1.0,0.023
15,ASASSN-15oh,150,0.01587,0.00085,0.01579,0.00011,0.01683,0.00011,15.1386,0.26899,34.3916,0.270341,-9.0,0,0,0.027876,0.047496,-1.58413,0.17332,15.4733,0.0973778,0.011606,0.00104092,0.000668426,-5.73e-05,-3.85e-05,337.675,39.2932,337.671253,39.291867,11.489721455284426,-24.6285,250,0.12766,10.1993,0.006,57255.9,0.2244,19,32.6009,0.0267151,0.1021,0.1172,-0.0376,0.001,1.0,0.009
