,Names,c,x1
0,SN2016coj,-0.006916,-1.47692
1,2018gv,-0.112311,0.12088
2,2019np,-0.025372,0.11384
3,2017erp,0.071172,0.47218
4,ASASSN-15so,-0.055198,-0.714413
5,PSNJ0717457,0.028562,-0.210958
6,ASASSN-16jf,-0.031719,-1.97973
7,AT2017cfd,0.050626,-0.52942
8,ASASSN-16la,-0.102335,0.83157
9,PSNJ2043531,0.093402,-2.55527
10,SN2017jl,-0.002342,0.60274
11,ASASSN-16ad,0.013618,0.10511
12,ATLAS16cxr,0.04603,-0.04908
13,iPTF16auf,0.048315,0.046602
14,ASASSN-15oh,0.027876,-1.58413
15,SN2016gfr,-0.02286,0.12662
16,ASASSN-16ip,-0.020215,-0.877386
17,PSNJ0107203,-0.099458,-1.98709
18,ASASSN-15ti,-0.042266,-1.47904
19,ASASSN-15od,-0.101117,-1.11648
20,ASASSN-15kx,-0.09556,-1.45347
21,ASASSN-17co,0.10393,-0.582812
22,PS15coh,-0.036481,1.34214
23,ATLAS16cpu,0.037895,-0.957574
24,ASASSN-16cs,0.033984,0.28962
25,2016W,0.046849,-1.42495
26,ATLAS16dqf,0.12111,0.80402
27,ASASSN-15lg,-0.082581,-1.2315
28,PSNJ1602512,0.097168,0.34806
29,ASASSN-17bs,0.063357,-1.01194
30,AT2016eoa,0.007093,-1.57505
31,ASASSN-16lg,-0.041446,-1.33321
32,SN2016ajf,0.20266,-2.93112
33,ASASSN-15uv,0.27395,0.26468
34,ATLAS16dpb,0.098219,-2.54831
35,ASASSN-17aj,0.00592,0.1408
36,AT2017cfb,-0.076928,0.9422
37,ASASSN-15il,-0.11218,1.24762
38,PS15cku,-0.010924,0.75555
39,ASASSN-15nr,0.028589,1.20679
40,ATLAS17bas,0.027298,0.80072
41,ASASSN-15tz,0.11405,-1.51814
42,ASASSN-15jt,0.21149,-2.32675
43,ASASSN-16em,0.044848,0.43976
44,AT2016bln,-0.005445,1.12918
45,ASASSN-15sf,-0.069691,0.87267
46,ASASSN-16hz,0.09128,-0.271228
47,AT2017cfc,-0.006368,-0.915129
48,ASASSN-16bq,-0.052867,-1.67717
49,PS15ahs,-0.091254,0.17315
50,PSNJ0153424,0.069316,-0.609377
51,SN2017hn,-0.027287,0.62439
52,SN2017ms,-0.120033,0.43188
53,PSNJ2352371,-0.013533,-2.03886
54,SN2017mf,-0.027296,-0.158018
55,ASASSN-15uu,0.16344,0.96417
56,ASASSN-15mf,-0.023271,-1.14563
57,ASASSN-17at,-0.02295,-1.46792
58,ASASSN-15fa,0.053892,0.83709
59,ASASSN-16av,0.16057,0.78114
60,PSNJ0252467,-0.098566,-0.242102
61,AT2017ns,0.2265,-0.966399
